"Timestamp","Username","Email","movies","music","games","food"
"","a","","documentary;horror;mystery","classical;indie;rock","call of duty;genshin impact;gta v","american;breakfast & brunch;italian"
"","craig.katsube","","animation;fantasy;sci-fi","anime;classical;jazz","genshin impact;league of legends;valorant","asian fusion;chinese;japanese"
"","rafael.dubeau","","documentary;horror;sci-fi","classical;indie;rock","league of legends;minecraft","french;japanese;mexican"
"","jolinlai0617","","action;animation;sci-fi","country;edm;pop","minecraft;nba 2k","chinese;japanese;mexican"
"","greg.sherman","","comedy;mystery;sci-fi","indie;rnb;rock","call of duty;gta v;minecraft","american;italian;soul food"
"","c.economopoulos","","action;comedy;horror","hip hop;indie;rnb","gta v","breakfast & brunch;mediterranean;mexican"
"","mac.niu","","animation;sci-fi","anime;classical;rock","valorant","american;chinese;italian"
"","lucmaxwell8","","adventure;comedy;documentary","indie;rnb;rock","minecraft;rocket league","american;italian;mediterranean"
"","tariniaroraa","","comedy;horror;thriller","country;edm;indie","fortnite;minecraft;valorant","american;breakfast & brunch;cafes"
"","ansh.mahotra","","crime;horror;thriller","classical;hip hop","gta v;nba 2k","american;cafes;mediterranean"
"","tanyamaini9","","comedy;horror;romance","folk;hip hop;indie","call of duty;fortnite;minecraft","chinese;french;italian"
"","aryansood1232","","action;horror;thriller","country;hip hop;pop","gta v","asian fusion;chinese;mexican"
"","nicholasgin","","action;comedy;sci-fi","pop;rnb;rock","minecraft;valorant","chinese;italian;japanese"
"","niharikav219","","comedy;drama;romance","folk;pop;rnb","call of duty;gta v;nba 2k","american;asian fusion;chinese"
"","makostrwlkr17","","documentary;mystery;sci-fi","anime;classical;jazz","call of duty;minecraft","asian fusion"
"","jasminesingh2004","","comedy;drama;romance","folk;hip hop;rock","gta v;minecraft;valorant","breakfast & brunch;italian;mexican"
"","aryankwatra13","","comedy;romance;thriller","hip hop;k-pop;pop","call of duty;gta v;nba 2k","asian fusion;italian;mexican"
"","ansh.jain","","animation;documentary;fantasy","k-pop;pop;rnb","minecraft","cafes"
"","ranaayman7","","comedy;romance;sci-fi","folk;indie;pop","minecraft","chinese;mediterranean"
"","tai.zhang","","animation;comedy;romance","classical;jazz;pop","league of legends;minecraft;valorant","american;breakfast & brunch;japanese"
"","raghavaggarwal2002","","action;mystery;sci-fi","classical;country","cs:go;gta v","american;asian fusion;chinese"
"","nothanks","","action;comedy;drama","edm;hip hop;pop","cs:go;minecraft;rocket league","american;italian;japanese"
"","bhaavyakaul","","comedy;drama;romance","anime;k-pop;pop","call of duty;genshin impact","american;chinese;french"
"","nordenrana98","","documentary;horror;thriller","hip hop;rock","dota 2;rocket league","american;cafes;italian"
"","vikranthero15","","animation;comedy;horror","anime;hip hop;pop","call of duty;gta v;minecraft","american;cafes;chinese"
"","siddharthy2002","","comedy;horror;sci-fi","hip hop;pop;rock","call of duty;cs:go;gta v","asian fusion;chinese;italian"
"","pratik.panda119","","comedy;crime;sci-fi","anime;hip hop;rock","apex legends;rocket league;valorant","american;italian;mediterranean"
"","k4r4mv1r","","comedy;crime;sci-fi","hip hop;jazz;pop","call of duty;fortnite;gta v","american;italian;mexican"
"","astitvarajput31","","comedy;crime;thriller","edm;indie;pop","call of duty;fortnite;valorant","american;italian;japanese"
"","mynameisanirudhnarula","","crime;fantasy;sci-fi","classical;country;indie","call of duty;fortnite;valorant","american;chinese;french"
"","zabanshom","","action;animation;crime","classical;pop;rock","call of duty;gta v;minecraft","chinese;italian;mexican"
"","bhaishetty89","","animation;horror;thriller","classical;indie;pop","call of duty;fortnite;gta v","chinese;italian;mediterranean"
"","aashman100","","action;adventure;sci-fi","anime;edm;pop","apex legends;call of duty;minecraft","american;asian fusion;chinese"
"","chakshuchiki","","comedy;mystery;romance","hip hop;jazz;rock","call of duty;fortnite;minecraft","chinese;italian;mexican"
"","priyasingh0732","","comedy;fantasy;romance","indie;pop","fortnite","cafes;chinese"
"","arunabhsingh13863","","action;animation;sci-fi","classical;hip hop;indie","call of duty;fortnite;gta v","asian fusion;breakfast & brunch;italian"
"","aryanbhat967","","comedy;crime;thriller","edm;hip hop;pop","cs:go;gta v;nba 2k","american;asian fusion;chinese"
"","garimagarg2531","","crime;horror;romance","classical;indie;rnb","cs:go;gta v;league of legends","chinese;italian;soul food"
"","dpsaryaa.anand","","crime;documentary;mystery","anime;folk;indie","call of duty;gta v;minecraft","cafes;chinese;italian"
"","harshit.hrd10","","action;crime;thriller","anime;hip hop;pop","call of duty;gta v;valorant","breakfast & brunch;chinese;italian"
"","gourishankergurjar57","","adventure;fantasy;sci-fi","classical;country","apex legends","american;breakfast & brunch;cafes"
"","priyanshipihumittal","","comedy;mystery;romance","classical;country;rock","call of duty;gta v;minecraft","cafes;chinese;french"
"","birnarzary23","","action;animation;comedy","classical;pop;rock","call of duty;cs:go;valorant","breakfast & brunch;cafes;chinese"
"","ritika7102003singh","","comedy;fantasy;horror","hip hop;pop;rock","minecraft","cafes;chinese;french"
"","kartik305g","","action;adventure;animation","classical;country","gta v","american;breakfast & brunch;cafes"
"","gjain8569","","comedy;drama;romance","classical;folk","minecraft","asian fusion;chinese;italian"
"","abhiveer6005","","comedy;fantasy;sci-fi","country;edm;pop","fortnite;rocket league","breakfast & brunch;french;italian"
"","Akanshabohara2002","","adventure;crime;horror","folk;hip hop;pop","gta v;minecraft;rocket league","asian fusion;breakfast & brunch;italian"
"","rohanfulwari21","","action;comedy;crime","classical;hip hop;rock","call of duty;gta v;minecraft","breakfast & brunch;cafes;chinese"
"","leunggiannauwu","","animation;fantasy;sci-fi","anime;k-pop;rnb","genshin impact;league of legends;minecraft","chinese;italian;japanese"
"","armaan.mann","","action;romance;thriller","hip hop;k-pop;rnb","apex legends;gta v;nba 2k","chinese;mediterranean;soul food"
